,HobbyTime,HobbyEnjoyment,HobbyPortfolio,HobbyVolunteer,HobbyShareMessages,HobbyBuildSkills
0,5 or less,Very True of Me,Very True of Me,True of me,Very True of Me,Very True of Me
1,11–20,Very True of Me,Very True of Me,Very Untrue of Me,True of me,Very True of Me
2,5 or less,Very True of Me,True of me,Untrue of Me,True of me,Very True of Me
3,6–10,Very True of Me,Untrue of Me,Very True of Me,Very True of Me,Very True of Me
4,11–20,Very True of Me,Very True of Me,True of me,True of me,Very True of Me
5,5 or less,Very True of Me,Very Untrue of Me,Very True of Me,True of me,Neutral
6,5 or less,True of me,Very True of Me,Neutral,Neutral,Very True of Me
7,6–10,True of me,True of me,Neutral,Very True of Me,Very True of Me
8,5 or less,Very True of Me,True of me,Very Untrue of Me,True of me,Very True of Me
9,6–10,Very True of Me,Neutral,Neutral,Neutral,Very True of Me
10,6–10,Very True of Me,True of me,Very True of Me,Very True of Me,Very True of Me
11,5 or less,True of me,True of me,True of me,Neutral,Very True of Me
12,5 or less,True of me,True of me,Untrue of Me,Untrue of Me,True of me
13,6–10,Very True of Me,Very True of Me,True of me,Very True of Me,True of me
14,5 or less,Very True of Me,Very True of Me,Very True of Me,Very True of Me,Very True of Me
15,6–10,Very True of Me,True of me,Neutral,Very True of Me,Very True of Me
16,11–20,Very True of Me,Very True of Me,Untrue of Me,True of me,True of me
17,5 or less,Very True of Me,Neutral,Very True of Me,Very True of Me,Very True of Me
18,5 or less,True of me,Neutral,Untrue of Me,Neutral,True of me
19,6–10,True of me,True of me,Very Untrue of Me,True of me,Neutral
20,5 or less,True of me,Very True of Me,Neutral,Untrue of Me,Very True of Me
21,5 or less,True of me,Very True of Me,Untrue of Me,True of me,Very True of Me
23,6–10,True of me,True of me,True of me,True of me,Very True of Me
25,6–10,True of me,Neutral,Very True of Me,Very True of Me,Neutral
26,5 or less,Very True of Me,True of me,Neutral,True of me,Very True of Me
27,6–10,Very True of Me,True of me,True of me,Very True of Me,Very True of Me
28,6–10,True of me,Untrue of Me,True of me,True of me,True of me
30,5 or less,Very True of Me,Very True of Me,Very Untrue of Me,Neutral,Very True of Me
31,11–20,Very True of Me,Very True of Me,Neutral,True of me,Very True of Me
32,6–10,Very True of Me,Very True of Me,Untrue of Me,True of me,True of me
33,6–10,True of me,Untrue of Me,Very Untrue of Me,Neutral,True of me
34,5 or less,True of me,True of me,Very Untrue of Me,Very True of Me,True of me
36,6–10,Very True of Me,Very True of Me,Neutral,Very True of Me,True of me
39,5 or less,Very True of Me,True of me,Untrue of Me,Neutral,Very True of Me
40,5 or less,Untrue of Me,Very True of Me,Very Untrue of Me,True of me,True of me
42,5 or less,True of me,Neutral,Very Untrue of Me,True of me,Neutral
44,5 or less,Very True of Me,True of me,Untrue of Me,Very True of Me,True of me
45,5 or less,True of me,True of me,Very Untrue of Me,Very Untrue of Me,True of me
46,5 or less,Very True of Me,Neutral,True of me,True of me,True of me
48,6–10,Very True of Me,Neutral,Untrue of Me,Neutral,Very True of Me
50,6–10,Very True of Me,True of me,Very Untrue of Me,Very True of Me,Very True of Me
51,5 or less,Very True of Me,Untrue of Me,True of me,True of me,Very True of Me
54,5 or less,Very True of Me,True of me,True of me,Very True of Me,True of me
55,5 or less,Very True of Me,Untrue of Me,Very Untrue of Me,Very Untrue of Me,Very True of Me
58,6–10,True of me,Neutral,Neutral,Neutral,Very True of Me
59,5 or less,Very True of Me,Very Untrue of Me,Very True of Me,Very True of Me,Very Untrue of Me
60,5 or less,Very True of Me,True of me,Untrue of Me,True of me,Very True of Me
61,5 or less,Very True of Me,Neutral,Very Untrue of Me,Neutral,Very True of Me
62,5 or less,Very True of Me,True of me,True of me,True of me,Very True of Me
65,5 or less,True of me,Very True of Me,Untrue of Me,True of me,Very True of Me
66,6–10,Very True of Me,Very True of Me,Very Untrue of Me,Very Untrue of Me,Very True of Me
67,5 or less,Very True of Me,Untrue of Me,Untrue of Me,True of me,Very True of Me
71,5 or less,True of me,True of me,Neutral,True of me,Very True of Me
72,11–20,Very True of Me,Neutral,Very Untrue of Me,Very True of Me,Very True of Me
77,31–40,Very True of Me,True of me,Neutral,True of me,Very True of Me
79,6–10,True of me,True of me,True of me,True of me,True of me
80,6–10,Very True of Me,True of me,Neutral,True of me,True of me
81,6–10,Very True of Me,Neutral,Untrue of Me,True of me,Very True of Me
82,5 or less,True of me,True of me,Very True of Me,Neutral,True of me
83,5 or less,Very True of Me,Very True of Me,Untrue of Me,True of me,Very True of Me
86,5 or less,Very True of Me,Very True of Me,Very True of Me,,Very True of Me
